,Open,High,Low,Close,Volume,fast_ma,slow_ma,rsi,atr
2021-02-09,36.900001525878906,38.255001068115234,36.130001068115234,38.16999816894531,44243200.0,30.49708326657613,21.25549452645438,65.89496360427995,4.8146434511457175
2021-02-10,38.150001525878906,38.2400016784668,35.0,35.70000076293945,45177200.0,31.003749926884968,21.543406622750418,60.213833586084625,4.9475006375994
2021-02-11,35.790000915527344,35.97999954223633,32.61000061035156,33.11000061035156,52094900.0,31.341666618982952,21.80329673892849,54.953594464240105,4.700357573372977
2021-02-12,33.36000061035156,33.650001525878906,31.34000015258789,31.90999984741211,60925600.0,31.62124991416931,22.052857178908127,52.69527089736617,4.149643216814313
2021-02-16,30.020000457763672,30.440000534057617,27.299999237060547,27.84000015258789,180294300.0,31.700833241144817,22.259560480222596,45.918617080214155,4.296786172049386
2021-02-17,27.989999771118164,29.729999542236328,27.0,27.07999992370605,151007000.0,31.738333225250244,22.448351692367385,44.780017937985804,3.5810718536376953
2021-02-18,24.989999771118164,26.309999465942383,24.5,25.170000076293945,313175100.0,31.724583228429157,22.615054989909076,42.00823222699588,3.1296431677682053
2021-02-19,27.020000457763672,29.959999084472656,26.899999618530277,29.0,320063700.0,31.894583225250244,22.823846198700288,48.74430172558833,3.2325003487723216
2021-02-22,29.959999084472656,30.190000534057617,27.535999298095703,28.0,183049500.0,31.992916584014893,23.022197849147922,47.22773288635002,3.2049292155674527
2021-02-23,25.959999084472656,27.459999084472656,23.899999618530277,26.75,145289400.0,31.9983332157135,23.20747257064987,45.359875452840924,3.2335006168910434
2021-02-24,26.709999084472656,27.229999542236328,25.75,26.38999938964844,90095700.0,32.00041651725769,23.393406626942394,44.819334210499335,3.2013577052525113
2021-02-25,25.81999969482422,26.440000534057617,23.149999618530277,23.959999084472656,161776400.0,31.916249831517536,23.554065955864203,41.301693220437926,3.2842148372105187
2021-02-26,24.200000762939453,24.5,22.700000762939453,23.899999618530277,119588600.0,31.554583072662354,23.707802217085284,41.21712086922497,3.1663575853620247
2021-03-01,25.190000534057617,25.899999618530277,24.6200008392334,24.809999465942383,85059900.0,31.078749736150105,23.873736276731385,43.08856807279059,2.9399288722446975
2021-03-02,25.0,25.59000015258789,24.26000022888184,24.479999542236328,73997000.0,30.62499976158142,24.037582428900752,42.5682029907352,2.8774287360055095
2021-03-03,24.989999771118164,25.167999267578125,23.43000030517578,23.59000015258789,79046200.0,29.982916434605915,24.194945062909806,41.14912538486149,2.7701428277151914
2021-03-04,24.850000381469727,25.559999465942383,23.049999237060547,24.729999542236328,161611200.0,29.52749975522359,24.365604400634766,43.69482768719634,2.7087143489292678
2021-03-05,24.36000061035156,24.68000030517578,20.18000030517578,23.950000762939453,173468600.0,29.059583107630413,24.522417592478323,42.367137622864696,2.868714196341377
2021-03-08,23.770000457763672,24.57999992370605,22.399999618530277,22.520000457763672,94432800.0,28.582916498184204,24.66560441321069,40.00735342860532,2.6951427459716775
2021-03-09,23.3799991607666,24.739999771118164,23.100000381469727,24.26000022888184,99586500.0,28.301249821980793,24.82285716507461,44.024155769732715,2.6587141581944036
2021-03-10,25.030000686645508,26.239999771118164,24.270000457763672,24.75,103212800.0,28.009166479110718,24.97450551881895,45.119797129199746,2.6158569880894236
2021-03-11,25.950000762939453,26.84000015258789,25.57999992370605,26.729999542236328,84788700.0,27.78749982515971,25.1490110041021,49.36060926501072,2.422999926975794
2021-03-12,25.739999771118164,26.920000076293945,25.18000030517578,26.920000076293945,58721900.0,27.490416526794434,25.3267033126328,49.755101640174935,2.3577141080583828
2021-03-15,27.350000381469727,27.46999931335449,26.309999465942383,26.790000915527344,56101500.0,27.104583263397217,25.50978024451287,49.47587750280394,2.14771406991141
2021-03-16,26.75,27.100000381469727,25.229999542236328,25.61000061035156,73615100.0,26.581250031789143,25.675384647243625,46.94390099942387,2.175571305411201
2021-03-17,24.520000457763672,25.729999542236328,24.299999237060547,25.209999084472656,77081700.0,26.144166628519695,25.837032988831236,46.09717367246586,2.042714118957518
2021-03-18,24.729999542236328,25.18000030517578,23.780000686645508,23.979999542236328,57141400.0,25.763749917348225,25.98274726658077,43.5402253098824,2.016285487583704
2021-03-19,24.01000022888184,24.56999969482422,23.38999938964844,24.31999969482422,57915900.0,25.4474999109904,26.119450558672895,44.442192016768466,1.9577140808105453
2021-03-22,24.88999938964844,24.920000076293945,23.86000061035156,24.21999931335449,46208100.0,25.296666542689007,26.233626376141558,44.222184415277766,1.9384283338274264
2021-03-23,24.0,24.104999542236328,23.100000381469727,23.26000022888184,50169700.0,25.137499888737995,26.328021982213954,42.10356089881698,1.894285474504742
2021-03-24,23.299999237060547,23.48500061035156,21.75,21.8799991607666,69271900.0,25.00041651725769,26.414615379585015,39.24203730594799,1.8389283588954366
2021-03-25,21.200000762939453,22.799999237060547,21.049999237060547,22.57999992370605,74592600.0,24.732916514078777,26.487362631074674,41.38174317115645,1.6389284133911117
2021-03-26,22.6299991607666,23.049999237060547,21.76000022888184,22.57999992370605,57916400.0,24.50708317756653,26.575274718986762,41.381743171156444,1.5753568921770356
2021-03-29,22.479999542236328,22.5,21.38999938964844,21.729999542236328,57647400.0,24.297916491826374,26.64043954702524,39.48857118729011,1.5017855507986868
2021-03-30,21.36000061035156,22.09000015258789,20.86000061035156,22.040000915527344,52039700.0,24.116666555404663,26.707582410875258,40.53903553685909,1.4482141222272589
2021-03-31,22.5,23.850000381469727,22.3799991607666,23.290000915527344,61458500.0,24.08874996503194,26.767362636524243,44.64196943694367,1.428214073181151
2021-04-01,23.950000762939453,23.950000762939453,22.729999542236328,23.06999969482422,51788800.0,24.05416663487752,26.824175824175825,44.07521404253303,1.3910713195800768
2021-04-05,23.780000686645508,24.450000762939453,23.34000015258789,23.440000534057617,65374300.0,23.997083346048992,26.87318682408595,45.31158516912487,1.4067856924874431
2021-04-06,23.549999237060547,23.61000061035156,22.82999992370605,23.270000457763672,41933500.0,23.946666717529297,26.92945056957203,44.82943999047794,1.3289285387311653
2021-04-07,23.0,23.549999237060547,22.809999465942383,22.899999618530277,32766200.0,23.917916695276897,26.949890115758876,43.75646890954223,1.2796427862984783
2021-04-08,23.200000762939453,23.600000381469727,22.739999771118164,23.40999984741211,35905500.0,23.862916707992554,26.94538462293017,45.65482187626889,1.2389286586216508
2021-04-09,23.459999084472656,24.350000381469727,23.3700008392334,24.040000915527344,54082700.0,23.866666714350384,26.890329696319917,47.95254848853122,1.2246428898402615
2021-04-12,24.520000457763672,24.549999237060547,22.729999542236328,23.34000015258789,68620800.0,23.90083336830139,26.84285717220097,45.68034349478978,1.2789286204746781
2021-04-13,23.190000534057617,25.65900039672852,23.1200008392334,25.420000076293945,83913500.0,23.949166695276897,26.824285737760775,52.72776633882071,1.3802858080182752
2021-04-14,25.350000381469727,26.200000762939453,23.649999618530277,23.700000762939453,108793800.0,23.90541672706604,26.802637393657978,47.349111371184456,1.4385001318795336
2021-04-15,24.01000022888184,24.059999465942383,22.690000534057617,23.149999618530277,58849300.0,23.75625006357829,26.809670353983783,45.76837759590315,1.411357198442731
2021-04-16,22.86000061035156,23.26000022888184,22.299999237060547,22.46999931335449,46627700.0,23.57083336512248,26.79252748174982,43.85189718077672,1.3877859115600586
2021-04-19,22.149999618530277,22.32999992370605,21.530000686645508,21.940000534057617,45753900.0,23.368750015894573,26.771538472437598,42.387150785349434,1.3699286324637279
