,Close,High,Low,Open,Volume,"('Close', 'NVDA')","('High', 'NVDA')","('Low', 'NVDA')","('Open', 'NVDA')","('Volume', 'NVDA')"
2018-01-02,4.929086208343506,4.932795397614459,4.809166445008653,4.840815049407268,355616000,,,,,
2018-01-03,5.253488063812256,5.28390105441763,5.03787925857757,5.046533246569268,914704000,,,,,
2018-01-04,5.281179904937744,5.39145715950859,5.258926662092723,5.334835092741774,583268000,,,,,
2018-01-05,5.325934410095215,5.363270115965067,5.219118741577012,5.296016138028854,580124000,,,,,
2018-01-08,5.489123344421387,5.563300495721611,5.404560939196577,5.449562134180357,881216000,,,,,
2018-01-09,5.487640380859375,5.534124785339297,5.406045315206983,5.494563569968857,497000000,,,,,
2018-01-10,5.530663967132568,5.5341255621732195,5.3407700123773685,5.395166573245732,582664000,,,,,
2018-01-11,5.540555000305176,5.594704443939573,5.5190431188052544,5.563302492133719,406032000,,,,,
2018-01-12,5.513355731964111,5.563054613622603,5.472805553170369,5.528685786880424,359916000,,,,,
2018-01-16,5.4423909187316895,5.625361619418944,5.357828991851652,5.539810733102706,702348000,,,,,
2018-01-17,5.55637788772583,5.566267955515429,5.363022369950755,5.456980136182887,538408000,,,,,
2018-01-18,5.549455642700195,5.6038522038125125,5.505938110846168,5.537092466351744,408632000,,,,,
2018-01-19,5.689651012420654,5.7138821790844485,5.612754079411087,5.639705003532065,609380000,,,,,
2018-01-22,5.77816915512085,5.779899952700894,5.639951999162643,5.697563035015674,550944000,,,,,
2018-01-23,5.907237529754639,5.929985018232204,5.813032159821656,5.831576215766142,475228000,,,,,
2018-01-24,5.83034086227417,5.946304775445436,5.774707744277787,5.910452269224769,579972000,,,,,
2018-01-25,5.843939304351807,5.928007010548228,5.82910396549565,5.884736604107968,409884000,,,,,
2018-01-26,6.016526699066162,6.016773821150451,5.874847929608717,5.887705352097186,516356000,,,,,
2018-01-29,6.103559494018555,6.134714316854905,5.949270941543932,6.0019366978994775,455116000,,,,,
2018-01-30,6.0014424324035645,6.092928045259141,5.89487435843083,5.9616340917356885,570832000,,,,,
2018-01-31,6.077598571777344,6.163397084911884,6.044218701932407,6.076856734010971,478576000,,,,,
2018-02-01,5.946551322937012,6.104796673459712,5.886220533591419,5.897594278151927,519224000,,,,,
2018-02-02,5.7739644050598145,5.883994530533014,5.715859138356958,5.860010491935854,718464000,,,,,
2018-02-05,5.283901214599609,5.7667956456032465,5.068786646953531,5.612754183074267,1165204000,,,,,
2018-02-06,5.577643394470215,5.580610273976281,5.04406065572031,5.05395119728782,1114800000,,,,,
2018-02-07,5.6572585105896,5.80981672341025,5.605334596628706,5.676544872637108,802932000,,,,,
2018-02-08,5.378352642059326,5.815998652823148,5.37810504843952,5.782866382030928,1144000000,,,,,
2018-02-09,5.73836088180542,5.906743436472376,5.378353565879385,5.890919136003815,1674604000,,,,,
2018-02-12,5.63822078704834,5.822428097967515,5.5640436186124065,5.8194607471301945,1093172000,,,,,
2018-02-13,5.751960754394531,5.79819805045773,5.569484205780132,5.60187511955395,625524000,,,,,
2018-02-14,5.969298839569092,5.99822815030115,5.700529593122754,5.711656214819168,744988000,,,,,
2018-02-15,6.094906330108643,6.141143619170893,5.971772112245807,6.052625351790188,698900000,,,,,
2018-02-16,6.0291361808776855,6.181446838564267,6.019987477323814,6.067708443106029,637656000,,,,,
2018-02-20,6.158699035644531,6.227683812857209,6.047927053629243,6.051636242236928,686240000,,,,,
2018-02-21,5.971524715423584,6.230156807601068,5.967815998208812,6.223233617276445,892292000,,,,,
2018-02-22,5.991069316864014,6.077168410379192,5.925505422488372,6.005419323083201,534364000,,,,,
2018-02-23,6.084592342376709,6.084592342376709,6.0002251021026085,6.050944450904054,415300000,,,,,
2018-02-26,6.100674629211426,6.135312097447484,6.03832671448641,6.130858776088578,469312000,,,,,
2018-02-27,6.0878071784973145,6.158319413458955,6.06479780862879,6.0739517239410326,455436000,,,,,
2018-02-28,5.98736047744751,6.138281221683485,5.975731914123517,6.098695406287149,523116000,,,,,
2018-03-01,5.745143413543701,6.039068248822196,5.6439519976932635,5.985132432325624,1040120000,,,,,
2018-03-02,5.852272987365723,5.858705929663044,5.48882543267025,5.6375197415801,913428000,,,,,
2018-03-05,5.830253601074219,5.869839413312906,5.678590098110917,5.802048603676631,620776000,,,,,
2018-03-06,5.9913177490234375,6.010616102064279,5.872560323187705,5.9156098782556565,636808000,,,,,
2018-03-07,5.983400821685791,6.035604767280532,5.887157745562345,5.888394595654131,581208000,,,,,
2018-03-08,5.967072010040283,6.010863867474216,5.92278512940084,6.010863867474216,411912000,,,,,
2018-03-09,6.069746017456055,6.082610953724187,5.998491485440558,6.014572891725694,505524000,,,,,
2018-03-12,6.17935037612915,6.259511565192006,6.102900209034932,6.111065023645987,605060000,,,,,
2018-03-13,6.128631591796875,6.296624248656835,6.087313907511748,6.2221532235446775,619772000,,,,,
2018-03-14,6.15411376953125,6.198895190501613,6.091765871621693,6.171679774570459,505496000,,,,,
2018-03-15,6.16895866394043,6.250109421177356,6.126898687888361,6.167721814012432,401952000,,,,,
2018-03-16,6.197163105010986,6.216213706749415,6.147680618087819,6.185287270397429,399456000,,,,,
2018-03-19,5.962617874145508,6.169206271953167,5.863653358072975,6.140259451838224,713772000,,,,,
2018-03-20,6.174895286560059,6.213738783991704,5.965585024525976,5.965585024525976,554696000,,,,,
2018-03-21,6.149661540985107,6.234771077875594,6.119229649354747,6.168464399222481,438688000,,,,,
2018-03-22,5.983646869659424,6.132836159583547,5.9462879642314785,6.08632286651433,551196000,,,,,
2018-03-23,5.763945579528809,5.999728505548152,5.752812043838391,5.997254334072508,735620000,,,,,
2018-03-26,6.048717021942139,6.049953871945451,5.8364379801107225,5.888394174450562,611424000,,,,,
2018-03-27,5.579625129699707,6.1852885757073715,5.439342924485084,6.129620884145991,1409000000,,,,,
2018-03-28,5.476454257965088,5.675372867043692,5.368830374846065,5.545234632912422,945904000,,,,,
2018-03-29,5.729803562164307,5.826541180790241,5.4603722398239825,5.544739471053771,916628000,,,,,
2018-04-02,5.469031810760498,5.805511645851864,5.381200830009458,5.6592915283502645,922092000,,,,,
2018-04-03,5.575417995452881,5.6991237428059955,5.476453491950384,5.6360340192918965,667432000,,,,,
2018-04-04,5.597438335418701,5.607829573902521,5.2946064062187395,5.319594928082214,789168000,,,,,
2018-04-05,5.477196216583252,5.6689400455128105,5.405694398533135,5.655827359855179,701240000,,,,,
2018-04-06,5.3007917404174805,5.4826393625081264,5.271597172883745,5.374520458006071,662988000,,,,,
2018-04-09,5.329491138458252,5.491793114192252,5.3094504901183965,5.363881321382225,499524000,,,,,
2018-04-10,5.638756275177002,5.6657239469829515,5.502679650432188,5.559831936643019,761676000,,,,,
2018-04-11,5.597438335418701,5.665229133075065,5.564780022498119,5.6239114547512985,460244000,,,,,
2018-04-12,5.80427360534668,5.822087358056744,5.646177670807339,5.690464541037917,593920000,,,,,
2018-04-13,5.7275776863098145,5.876271996670059,5.679332506209749,5.867859905230021,503036000,,,,,
2018-04-16,5.727329730987549,5.760730345223969,5.633065806713657,5.734257223845468,350792000,,,,,
2018-04-17,5.877012729644775,5.898290228235538,5.7238651387100745,5.779532820877773,447224000,,,,,
